index,pass_ID,scenario,time_crit,JRT,WT,commuter,age_50_65,age_65plus,Crowding_3_2,Crowding_4_3,Crowding_4_2,output_choice
17,18,3,1,15,10,1,0,0,0,1,0,1
17,18,4,1,15,5,1,0,0,0,1,0,1
17,18,5,1,15,10,1,0,0,0,0,1,1
17,18,6,1,15,5,1,0,0,0,0,1,1
18,19,1,0,17,10,1,0,0,1,0,0,0
18,19,2,0,17,5,1,0,0,1,0,0,0
18,19,3,0,17,10,1,0,0,0,1,0,0
18,19,4,0,17,5,1,0,0,0,1,0,1
18,19,5,0,17,10,1,0,0,0,0,1,0
18,19,6,0,17,5,1,0,0,0,0,1,1
19,20,1,1,20,10,1,0,0,1,0,0,0
19,20,2,1,20,5,1,0,0,1,0,0,0
19,20,3,1,20,10,1,0,0,0,1,0,0
19,20,4,1,20,5,1,0,0,0,1,0,1
19,20,5,1,20,10,1,0,0,0,0,1,0
19,20,6,1,20,5,1,0,0,0,0,1,1
20,21,1,1,17,10,1,0,0,1,0,0,1
20,21,2,1,17,5,1,0,0,1,0,0,1
20,21,3,1,17,10,1,0,0,0,1,0,1
20,21,4,1,17,5,1,0,0,0,1,0,1
20,21,5,1,17,10,1,0,0,0,0,1,1
20,21,6,1,17,5,1,0,0,0,0,1,1
21,22,1,0,2,10,1,0,0,1,0,0,0
21,22,2,0,2,5,1,0,0,1,0,0,0
21,22,3,0,2,10,1,0,0,0,1,0,0
21,22,4,0,2,5,1,0,0,0,1,0,0
21,22,5,0,2,10,1,0,0,0,0,1,0
21,22,6,0,2,5,1,0,0,0,0,1,0
22,23,1,1,20,10,1,0,0,1,0,0,0
22,23,2,1,20,5,1,0,0,1,0,0,0
22,23,3,1,20,10,1,0,0,0,1,0,0
22,23,4,1,20,5,1,0,0,0,1,0,1
22,23,5,1,20,10,1,0,0,0,0,1,0
22,23,6,1,20,5,1,0,0,0,0,1,1
23,24,1,1,40,10,1,0,0,1,0,0,0
23,24,2,1,40,5,1,0,0,1,0,0,0
23,24,3,1,40,10,1,0,0,0,1,0,0
23,24,4,1,40,5,1,0,0,0,1,0,0
23,24,5,1,40,10,1,0,0,0,0,1,0
23,24,6,1,40,5,1,0,0,0,0,1,0
24,25,1,1,30,10,1,0,0,1,0,0,0
24,25,2,1,30,5,1,0,0,1,0,0,0
24,25,3,1,30,10,1,0,0,0,1,0,0
24,25,4,1,30,5,1,0,0,0,1,0,0
24,25,5,1,30,10,1,0,0,0,0,1,0
24,25,6,1,30,5,1,0,0,0,0,1,1
25,26,1,0,6,10,1,0,0,1,0,0,0
25,26,2,0,6,5,1,0,0,1,0,0,0
25,26,3,0,6,10,1,0,0,0,1,0,0
25,26,4,0,6,5,1,0,0,0,1,0,0
25,26,5,0,6,10,1,0,0,0,0,1,0
25,26,6,0,6,5,1,0,0,0,0,1,0
26,27,1,1,20,10,1,0,0,1,0,0,0
26,27,2,1,20,5,1,0,0,1,0,0,0
26,27,3,1,20,10,1,0,0,0,1,0,1
26,27,4,1,20,5,1,0,0,0,1,0,1
26,27,5,1,20,10,1,0,0,0,0,1,1
26,27,6,1,20,5,1,0,0,0,0,1,1
27,28,1,1,40,10,1,0,0,1,0,0,0
27,28,2,1,40,5,1,0,0,1,0,0,0
27,28,3,1,40,10,1,0,0,0,1,0,0
27,28,4,1,40,5,1,0,0,0,1,0,0
27,28,5,1,40,10,1,0,0,0,0,1,0
27,28,6,1,40,5,1,0,0,0,0,1,0
28,29,1,1,35,10,1,0,0,1,0,0,0
28,29,2,1,35,5,1,0,0,1,0,0,0
28,29,3,1,35,10,1,0,0,0,1,0,0
28,29,4,1,35,5,1,0,0,0,1,0,1
28,29,5,1,35,10,1,0,0,0,0,1,0
28,29,6,1,35,5,1,0,0,0,0,1,1
29,30,1,0,20,10,0,0,1,1,0,0,1
29,30,2,0,20,5,0,0,1,1,0,0,1
29,30,3,0,20,10,0,0,1,0,1,0,1
29,30,4,0,20,5,0,0,1,0,1,0,1
29,30,5,0,20,10,0,0,1,0,0,1,1
29,30,6,0,20,5,0,0,1,0,0,1,1
30,31,1,1,60,10,1,0,0,1,0,0,0
30,31,2,1,60,5,1,0,0,1,0,0,0
30,31,3,1,60,10,1,0,0,0,1,0,1
30,31,4,1,60,5,1,0,0,0,1,0,1
30,31,5,1,60,10,1,0,0,0,0,1,1
30,31,6,1,60,5,1,0,0,0,0,1,1
31,32,1,0,10,10,1,0,0,1,0,0,0
31,32,2,0,10,5,1,0,0,1,0,0,0
31,32,3,0,10,10,1,0,0,0,1,0,0
31,32,4,0,10,5,1,0,0,0,1,0,0
31,32,5,0,10,10,1,0,0,0,0,1,0
31,32,6,0,10,5,1,0,0,0,0,1,0
32,33,1,0,50,10,1,0,0,1,0,0,0
32,33,2,0,50,5,1,0,0,1,0,0,1
32,33,3,0,50,10,1,0,0,0,1,0,0
32,33,4,0,50,5,1,0,0,0,1,0,1
32,33,5,0,50,10,1,0,0,0,0,1,0
32,33,6,0,50,5,1,0,0,0,0,1,1
33,34,1,1,20,10,1,0,0,1,0,0,0
33,34,2,1,20,5,1,0,0,1,0,0,1
33,34,3,1,20,10,1,0,0,0,1,0,1
33,34,4,1,20,5,1,0,0,0,1,0,1
33,34,5,1,20,10,1,0,0,0,0,1,1
33,34,6,1,20,5,1,0,0,0,0,1,1
34,35,1,0,22,10,1,0,0,1,0,0,0
34,35,2,0,22,5,1,0,0,1,0,0,0
34,35,3,0,22,10,1,0,0,0,1,0,0
34,35,4,0,22,5,1,0,0,0,1,0,0
34,35,5,0,22,10,1,0,0,0,0,1,0
34,35,6,0,22,5,1,0,0,0,0,1,0
35,36,1,0,30,10,1,1,0,1,0,0,1
35,36,2,0,30,5,1,1,0,1,0,0,1
35,36,3,0,30,10,1,1,0,0,1,0,1
35,36,4,0,30,5,1,1,0,0,1,0,1
35,36,5,0,30,10,1,1,0,0,0,1,1
35,36,6,0,30,5,1,1,0,0,0,1,1
36,37,1,1,15,10,1,0,0,1,0,0,0
36,37,2,1,15,5,1,0,0,1,0,0,0
36,37,3,1,15,10,1,0,0,0,1,0,0
36,37,4,1,15,5,1,0,0,0,1,0,0
36,37,5,1,15,10,1,0,0,0,0,1,0
36,37,6,1,15,5,1,0,0,0,0,1,0
37,38,1,0,10,10,1,0,0,1,0,0,0
37,38,2,0,10,5,1,0,0,1,0,0,1
37,38,3,0,10,10,1,0,0,0,1,0,1
37,38,4,0,10,5,1,0,0,0,1,0,1
37,38,5,0,10,10,1,0,0,0,0,1,1
37,38,6,0,10,5,1,0,0,0,0,1,1
38,39,1,1,28,10,0,0,0,1,0,0,0
38,39,2,1,28,5,0,0,0,1,0,0,0
38,39,3,1,28,10,0,0,0,0,1,0,0
38,39,4,1,28,5,0,0,0,0,1,0,1
38,39,5,1,28,10,0,0,0,0,0,1,0
38,39,6,1,28,5,0,0,0,0,0,1,1
39,40,1,0,25,10,1,1,0,1,0,0,0
39,40,2,0,25,5,1,1,0,1,0,0,0
39,40,3,0,25,10,1,1,0,0,1,0,0
39,40,4,0,25,5,1,1,0,0,1,0,1
39,40,5,0,25,10,1,1,0,0,0,1,0
39,40,6,0,25,5,1,1,0,0,0,1,1
40,41,1,1,25,10,1,1,0,1,0,0,0
40,41,2,1,25,5,1,1,0,1,0,0,0
40,41,3,1,25,10,1,1,0,0,1,0,0
40,41,4,1,25,5,1,1,0,0,1,0,0
40,41,5,1,25,10,1,1,0,0,0,1,0
40,41,6,1,25,5,1,1,0,0,0,1,0
41,42,1,0,10,10,1,0,0,1,0,0,1
41,42,2,0,10,5,1,0,0,1,0,0,1
41,42,3,0,10,10,1,0,0,0,1,0,1
41,42,4,0,10,5,1,0,0,0,1,0,1
41,42,5,0,10,10,1,0,0,0,0,1,1
41,42,6,0,10,5,1,0,0,0,0,1,1
42,43,1,0,15,10,1,0,0,1,0,0,0
42,43,2,0,15,5,1,0,0,1,0,0,1
42,43,3,0,15,10,1,0,0,0,1,0,0
42,43,4,0,15,5,1,0,0,0,1,0,1
42,43,5,0,15,10,1,0,0,0,0,1,0
42,43,6,0,15,5,1,0,0,0,0,1,1
43,44,1,0,25,10,1,1,0,1,0,0,0
43,44,2,0,25,5,1,1,0,1,0,0,0
43,44,3,0,25,10,1,1,0,0,1,0,0
43,44,4,0,25,5,1,1,0,0,1,0,0
43,44,5,0,25,10,1,1,0,0,0,1,0
43,44,6,0,25,5,1,1,0,0,0,1,0
44,45,1,0,7,10,1,0,0,1,0,0,0
44,45,2,0,7,5,1,0,0,1,0,0,0
44,45,3,0,7,10,1,0,0,0,1,0,0
44,45,4,0,7,5,1,0,0,0,1,0,1
44,45,5,0,7,10,1,0,0,0,0,1,0
44,45,6,0,7,5,1,0,0,0,0,1,1
45,46,1,0,20,10,1,0,0,1,0,0,0
45,46,2,0,20,5,1,0,0,1,0,0,0
45,46,3,0,20,10,1,0,0,0,1,0,0
45,46,4,0,20,5,1,0,0,0,1,0,0
45,46,5,0,20,10,1,0,0,0,0,1,0
45,46,6,0,20,5,1,0,0,0,0,1,0
46,47,1,0,2,10,0,0,0,1,0,0,0
46,47,2,0,2,5,0,0,0,1,0,0,0
46,47,3,0,2,10,0,0,0,0,1,0,0
46,47,4,0,2,5,0,0,0,0,1,0,0
46,47,5,0,2,10,0,0,0,0,0,1,0
46,47,6,0,2,5,0,0,0,0,0,1,0
47,48,1,1,90,10,1,0,0,1,0,0,0
47,48,2,1,90,5,1,0,0,1,0,0,1
47,48,3,1,90,10,1,0,0,0,1,0,0
47,48,4,1,90,5,1,0,0,0,1,0,1
47,48,5,1,90,10,1,0,0,0,0,1,0
47,48,6,1,90,5,1,0,0,0,0,1,1
48,49,1,0,30,10,1,0,0,1,0,0,0
48,49,2,0,30,5,1,0,0,1,0,0,0
48,49,3,0,30,10,1,0,0,0,1,0,1
48,49,4,0,30,5,1,0,0,0,1,0,1
48,49,5,0,30,10,1,0,0,0,0,1,1
48,49,6,0,30,5,1,0,0,0,0,1,1
49,50,1,0,25,10,1,0,0,1,0,0,0
49,50,2,0,25,5,1,0,0,1,0,0,0
49,50,3,0,25,10,1,0,0,0,1,0,0
49,50,4,0,25,5,1,0,0,0,1,0,0
49,50,5,0,25,10,1,0,0,0,0,1,0
49,50,6,0,25,5,1,0,0,0,0,1,0
50,51,1,0,10,10,1,0,0,1,0,0,0
50,51,2,0,10,5,1,0,0,1,0,0,0
50,51,3,0,10,10,1,0,0,0,1,0,0
50,51,4,0,10,5,1,0,0,0,1,0,1
